smiles,Helper_lipid_ID,Helper_lipid_ID_DOPE,Helper_lipid_ID_DOTAP,Helper_lipid_ID_DSPC,Helper_lipid_ID_MDOA,Cationic_Lipid_to_mRNA_weight_ratio,Cationic_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Purity,Mix_type,Cargo_type,Cargo_type_mRNA,Cargo_type_pDNA,Cargo_type_siRNA,Target_or_delivered_gene,Model_type,Model_type_A549,Model_type_BDMC,Model_type_BMDM,Model_type_HBEC_ALI,Model_type_HEK293T,Model_type_HeLa,Model_type_IGROV1,Model_type_Mouse,Model_type_RAW264p7,Delivery_target,Delivery_target_body,Delivery_target_dendritic_cell,Delivery_target_generic_cell,Delivery_target_liver,Delivery_target_lung,Delivery_target_lung_epithelium,Delivery_target_macrophage,Delivery_target_muscle,Delivery_target_spleen,Route_of_administration,Route_of_administration_in_vitro,Route_of_administration_intramuscular,Route_of_administration_intratracheal,Route_of_administration_intravenous,Batch_or_individual_or_barcoded,Batch_or_individual_or_barcoded_Barcoded,Batch_or_individual_or_barcoded_Individual,Value_name,Formulation_ID,Cationic_Lipid_Mass_Ratio,Phospholipid_Mass_Ratio,Cholesterol_Mass_Ratio,PEG_Lipid_Mass_Ratio,Amine,Tail,Lipid_name,Library_ID,Experiment_ID,Experimenter_ID,Experiment_weight,Goal,screen_id,Source,Sample_weight,Comment,Amine_number,Full_SMILES,Amine_SMILES,Tail_length,Num_tails,Ketone,Isocyanide,Is_cyclic,Formulation,Batch_or_individual,Random_id,4CR_Lipid_name,Aldehyde,Carboxylic_acid,Amine_name,Tail_name,Linker,MolWt,Tail_count,Num tails,Common_name,Ester,Disulfide,Total_radiance,Form_comment,molecular_weight,split_name_for_normalization,Encapsulation_Efficiency_EE<50,Encapsulation_Efficiency_50<=EE<80,Encapsulation_Efficiency_80<EE<=100,PDI_0_0to0_2,PDI_0_2to0_3,PDI_0_3to0_4,PDI_0_4to0_5,toxic,size,Biodistribution_lymph_nodes,Biodistribution_heart,Biodistribution_liver,Biodistribution_spleen,Biodistribution_lung,Biodistribution_kidney,Biodistribution_muscle,quantified_total_luminescence,unnormalized_delivery,quantified_delivery
OC(CC(NCCCN(CCCCCCOC(CCCCCC)=O)CCCCCCOC(CCCCCC)=O)=O)(CC(NCCCN(CCCCCCOC(CCCCCC)=O)CCCCCCOC(CCCCCC)=O)=O)C(NCCCN(CCCCCCOC(CCCCCC)=O)CCCCCCOC(CCCCCC)=O)=O,DSPC,0,0,1,0,19.35326347,50.0,10.0,38.5,1.5,Pure,Microfluidic,mRNA,1,0,0,FFL,Mouse,0,0,0,0,0,0,0,1,0,body,1,0,0,0,0,0,0,0,0,intramuscular,0,1,0,0,Individual,0,1,luminescence,,,,,,citric acid,,,Chinese_Academy_of_Sciences,Chinese_Academy_of_Sciences,ccchina,,max,Chinese_Academy_of_Sciences,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese_Academy_of_Sciences_Chinese_Academy_of_Sciences_body_Mouse_intramuscular,0,0,1,1,0,0,0,0.0,5.01396308418893,0.0,0.08000820122511579,0.19824673850664523,0.12166905873621862,0.1137401293448171,0.049874897264689924,0.4364609749225133,0.658321187392093,0.658321187392093,-0.12131318249660013
OC(CC(NCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)=O)(CC(NCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)=O)C(NCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)=O,DSPC,0,0,1,0,19.19352646,50.0,10.0,38.5,1.5,Pure,Microfluidic,mRNA,1,0,0,FFL,Mouse,0,0,0,0,0,0,0,1,0,body,1,0,0,0,0,0,0,0,0,intramuscular,0,1,0,0,Individual,0,1,luminescence,,,,,,citric acid,,,Chinese_Academy_of_Sciences,Chinese_Academy_of_Sciences,ccchina,,max,Chinese_Academy_of_Sciences,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese_Academy_of_Sciences_Chinese_Academy_of_Sciences_body_Mouse_intramuscular,0,0,1,1,0,0,0,0.0,4.346658490836091,0.0,0.06673990552970357,0.20255968660350465,0.11691324516693999,0.11651592211912426,0.060810265658214145,0.4364609749225134,0.6273228188158403,0.6273228188158403,-0.15304635436563174
O=C(CN(CCCCCCCCCCCC)CCCCCCCCCCCC)NCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC,DSPC,0,0,1,0,15.44559484,50.0,10.0,38.5,1.5,Pure,Microfluidic,mRNA,1,0,0,FFL,Mouse,0,0,0,0,0,0,0,1,0,body,1,0,0,0,0,0,0,0,0,intramuscular,0,1,0,0,Individual,0,1,luminescence,,,,,,gly,,,Chinese_Academy_of_Sciences,Chinese_Academy_of_Sciences,ccchina,,max,Chinese_Academy_of_Sciences,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese_Academy_of_Sciences_Chinese_Academy_of_Sciences_body_Mouse_intramuscular,1,0,0,0,1,0,0,,6.892641641172089,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
CCCCCCCCCCN([C@H](C(NCCCN(CCCCCCCCCCCC)CCCCCCCCCC)=O)CO)CCCCCCCCCCCC,DSPC,0,0,1,0,15.24245185,50.0,10.0,38.5,1.5,Pure,Microfluidic,mRNA,1,0,0,FFL,Mouse,0,0,0,0,0,0,0,1,0,body,1,0,0,0,0,0,0,0,0,intramuscular,0,1,0,0,Individual,0,1,luminescence,,,,,,ser,,,Chinese_Academy_of_Sciences,Chinese_Academy_of_Sciences,ccchina,,max,Chinese_Academy_of_Sciences,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese_Academy_of_Sciences_Chinese_Academy_of_Sciences_body_Mouse_intramuscular,0,0,1,1,0,0,0,0.0,5.2699178920263385,0.0,0.07039556483181461,0.20821004758954978,0.1099215160375492,0.12684949742300425,0.04816239919556873,0.4364609749225134,0.6933853561086296,0.6933853561086296,-0.0854178324045635
CCCCCCCCCCN([C@H](C(NCCCN(CCCCCCCCCCCC)CCCCCCCCCC)=O)CO)CCCCCCCCCCCC,DSPC,0,0,1,0,15.24245185,50.0,10.0,38.5,1.5,Pure,Microfluidic,mRNA,1,0,0,FFL,Mouse,0,0,0,0,0,0,0,1,0,body,1,0,0,0,0,0,0,0,0,intramuscular,0,1,0,0,Individual,0,1,luminescence,,,,,,ser,,,Chinese_Academy_of_Sciences,Chinese_Academy_of_Sciences,ccchina,,max,Chinese_Academy_of_Sciences,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese_Academy_of_Sciences_Chinese_Academy_of_Sciences_body_Mouse_intramuscular,0,0,1,1,0,0,0,,4.345103280569283,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
O=C(CN(CCCCCCCC)CCCCCCCC)NCCCN(CCCCCCCC)CCCCCCCC,DSPC,0,0,1,0,13.38607591,50.0,10.0,38.5,1.5,Pure,Microfluidic,mRNA,1,0,0,FFL,Mouse,0,0,0,0,0,0,0,1,0,body,1,0,0,0,0,0,0,0,0,intramuscular,0,1,0,0,Individual,0,1,luminescence,,,,,,gly,,,Chinese_Academy_of_Sciences,Chinese_Academy_of_Sciences,ccchina,,max,Chinese_Academy_of_Sciences,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese_Academy_of_Sciences_Chinese_Academy_of_Sciences_body_Mouse_intramuscular,0,0,1,1,0,0,0,0.0,4.281930018135596,0.0,0.08460778789131308,0.20005694055666667,0.12936086075893383,0.09810159036277262,0.051411845485909796,0.436460974944404,0.6755740277818357,0.6755740277818357,-0.10365137077996364
CCCCCCCCN([C@H](C(NCCCN(CCCCCCCC)CCCCCCCC)=O)CO)CCCCCCCC,DSPC,0,0,1,0,13.70858688,50.0,10.0,38.5,1.5,Pure,Microfluidic,mRNA,1,0,0,FFL,Mouse,0,0,0,0,0,0,0,1,0,body,1,0,0,0,0,0,0,0,0,intramuscular,0,1,0,0,Individual,0,1,luminescence,,,,,,ser,,,Chinese_Academy_of_Sciences,Chinese_Academy_of_Sciences,ccchina,,max,Chinese_Academy_of_Sciences,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese_Academy_of_Sciences_Chinese_Academy_of_Sciences_body_Mouse_intramuscular,0,0,1,0,1,0,0,0.0,4.6061696863211745,0.0,0.07622357499005807,0.1896315270624672,0.12426582459981067,0.12343832592746747,0.04997977249768307,0.4364609749225134,0.7036333212579068,0.7036333212579068,-0.07492694355052913
O=C(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCC)=O)CCCCCCOC(CCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCC)=O)CCCCCCCC,DSPC,0,0,1,0,17.40770989,50.0,10.0,38.5,1.5,Pure,Microfluidic,mRNA,1,0,0,FFL,Mouse,0,0,0,0,0,0,0,1,0,body,1,0,0,0,0,0,0,0,0,intramuscular,0,1,0,0,Individual,0,1,luminescence,,,,,,ser,,,Chinese_Academy_of_Sciences,Chinese_Academy_of_Sciences,ccchina,,max,Chinese_Academy_of_Sciences,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese_Academy_of_Sciences_Chinese_Academy_of_Sciences_body_Mouse_intramuscular,0,1,0,1,0,0,0,0.0,4.60816569496789,0.0,0.05898595778200786,0.17798769608130618,0.1427167441676691,0.13103445412941725,0.052814172917086365,0.4364609749225132,0.7055176957687271,0.7055176957687271,-0.07299790073427931
CCCCCCCCCCCCN([C@H](C(NCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)=O)CO)CCCCCCCCCCCC,DSPC,0,0,1,0,15.96782216,50.0,10.0,38.5,1.5,Pure,Microfluidic,mRNA,1,0,0,FFL,Mouse,0,0,0,0,0,0,0,1,0,body,1,0,0,0,0,0,0,0,0,intramuscular,0,1,0,0,Individual,0,1,luminescence,,,,,,ser,,,Chinese_Academy_of_Sciences,Chinese_Academy_of_Sciences,ccchina,,max,Chinese_Academy_of_Sciences,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese_Academy_of_Sciences_Chinese_Academy_of_Sciences_body_Mouse_intramuscular,0,0,1,1,0,0,0,0.0,4.378645926514404,0.0,0.07056918149717663,0.18931981271474488,0.14454769868395875,0.10420365377199543,0.05489867840961118,0.4364609749225131,0.70296182258047,0.70296182258047,-0.07561435982176003
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCCCCC(OCCCCCCCCCCC)=O)CCO,DSPC,0,0,1,0,14.67100244,50.0,10.0,38.5,1.5,Pure,Microfluidic,mRNA,1,0,0,FFL,Mouse,0,0,0,0,0,0,0,1,0,body,1,0,0,0,0,0,0,0,0,intramuscular,0,1,0,0,Individual,0,1,luminescence,,,,,,Crtl,,,Chinese_Academy_of_Sciences,Chinese_Academy_of_Sciences,ccchina,,max,Chinese_Academy_of_Sciences,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese_Academy_of_Sciences_Chinese_Academy_of_Sciences_body_Mouse_intramuscular,0,0,1,1,0,0,0,0.0,4.6210435351443815,0.0,0.010502981514478446,0.48253959291375487,0.038629563694814545,0.02112360843676923,0.010743278517669541,0.4364609749225134,1.0,1.0,0.2284649826936687
